0 109 91 94 91 91 128 126 90 147 91 91 97 178 91 136 91 90 91 154 91 127 151 90 91 91 119 90 95 92 104 90 -- ad=-21, fs=0
90 109 90 93 91 91 133 91 90 134 90 97 114 159 90 90 134 91 91 168 90 91 91 102 90 97 90 90 90 90 -- ad=-9, fs=1
90 109 91 93 90 132 115 166 90 91 90 202 112 91 90 90 91 153 90 131 91 90 150 119 91 131 90 101 172 119 90 90 155 90 -- ad=-4, fs=1
90 109 91 94 91 90 136 90 91 90 155 90 109 95 90 121 139 125 91 91 170 106 98 91 91 91 91 156 98 90 90 90 90 108 90 115 -- ad=4, fs=0
91 109 90 93 91 91 126 90 105 90 110 90 122 91 136 91 91 90 91 90 91 103 94 90 -- ad=8, fs=1
91 109 91 94 91 91 128 126 91 105 91 103 90 90 190 103 238 96 129 91 90 133 90 91 129 90 91 91 97 90 -- ad=-13, fs=0
91 124 126 90 94 90 112 204 108 91 93 102 116 91 131 97 158 130 118 135 121 105 90 93 143 90 90 90 90 90 118 91 118 90 128 -- ad=1, fs=0
90 109 91 93 90 132 115 166 90 91 90 202 112 91 90 90 91 153 90 131 91 90 150 119 91 131 90 101 172 127 90 93 91 154 90 -- ad=3, fs=0
90 109 91 94 91 91 93 90 97 91 91 161 90 91 90 91 90 99 90 90 99 91 90 133 91 114 91 99 90 100 -- ad=2, fs=0
94 104 191 106 91 100 91 101 122 90 90 90 90 91 156 107 91 90 151 90 91 91 143 125 97 91 117 91 98 152 -- ad=-6, fs=0
91 109 91 93 91 123 91 155 128 90 115 90 91 115 90 91 91 90 91 98 90 113 188 90 90 94 91 90 91 108 90 90 91 110 136 91 91 90 90 160 -- ad=16, fs=1
91 109 91 93 91 92 90 119 90 115 254 115 90 112 138 100 90 90 120 90 96 91 173 107 99 91 197 91 90 153 90 91 91 90 91 90 101 91 159 187 136 189 -- ad=0, fs=0
90 93 91 151 90 139 179 103 116 171 90 116 193 113 108 118 90 91 116 90 91 90 214 90 127 162 91 91 91 90 149 90 145 90 156 144 151 90 91 98 91 105 -- ad=2, fs=1
90 109 91 93 90 140 150 132 213 90 90 161 90 91 91 91 129 91 95 90 137 129 134 135 93 151 90 90 112 90 90 97 91 91 109 91 131 90 91 -- ad=-20, fs=0
90 109 91 93 90 123 91 119 237 141 90 90 91 129 91 142 91 90 132 180 91 90 127 92 90 90 102 93 90 130 91 99 92 155 91 91 105 90 91 -- ad=8, fs=0
91 109 91 94 91 91 128 126 90 135 106 90 110 90 118 90 91 130 91 131 92 91 153 90 91 92 162 91 91 107 91 99 90 96 90 138 119 131 91 91 90 97 -- ad=6, fs=0
90 109 91 94 91 91 128 126 90 135 106 90 110 90 118 90 91 130 91 131 92 91 153 90 99 90 106 108 91 97 172 119 128 -- ad=-13, fs=0
90 124 126 90 142 91 104 101 90 95 162 142 90 90 93 90 132 134 90 91 124 112 91 90 97 90 90 91 130 91 93 91 155 90 91 90 108 108 91 124 90 91 113 90 99 -- ad=5, fs=3
91 93 91 165 151 90 148 190 90 152 122 122 91 158 347 132 317 114 90 155 90 90 167 90 91 91 164 255 91 104 91 90 118 91 128 91 90 105 91 90 104 -- ad=2, fs=0
90 104 191 106 91 100 91 101 122 90 90 90 90 91 156 107 91 90 151 90 91 91 143 125 97 91 113 91 107 90 90 -- ad=7, fs=0
90 109 91 94 91 91 124 90 137 106 106 122 107 91 90 155 90 170 91 90 165 90 125 179 90 90 157 128 142 90 90 -- ad=2, fs=0
90 93 91 151 91 131 154 99 90 102 221 162 157 90 112 253 137 448 90 90 173 105 90 91 91 118 142 131 91 123 91 118 90 91 91 90 138 90 -- ad=-16, fs=0
90 93 91 163 224 90 115 90 132 192 152 91 111 91 91 160 241 107 165 95 138 91 90 123 251 114 90 120 90 93 91 100 91 90 90 127 377 128 91 91 90 167 179 90 90 109 123 91 90 153 90 -- ad=19, fs=1
90 109 90 93 91 91 148 91 90 151 90 90 142 265 117 91 91 100 91 152 91 90 90 96 90 138 91 91 104 91 146 91 90 91 126 90 105 90 91 94 90 117 100 90 94 91 90 143 -- ad=-20, fs=0
90 109 90 95 246 90 242 91 103 140 91 112 105 92 90 108 234 100 291 142 106 161 90 118 91 130 91 101 91 111 92 99 90 158 91 91 131 91 120 104 90 152 90 102 91 130 90 -- ad=20, fs=0
91 109 90 93 91 91 117 91 123 91 91 166 91 90 159 91 90 91 126 90 90 148 91 91 91 91 91 101 90 90 -- ad=-15, fs=0
90 93 91 109 90 106 210 141 90 90 94 144 90 91 91 94 133 120 90 91 147 91 90 108 90 124 175 148 91 90 -- ad=4, fs=0
90 109 91 94 91 91 136 90 90 91 171 100 91 91 90 92 96 90 101 -- ad=2, fs=0
90 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
91 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ad=8, fs=0
90 109 90 93 91 91 135 91 94 116 90 101 143 100 142 91 91 90 91 153 90 90 90 104 90 91 -- ad=10, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ad=8, fs=0
91 109 90 93 91 91 90 90 92 90 95 91 170 90 90 90 90 104 124 91 90 108 90 -- ad=3, fs=0
91 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
91 109 91 93 90 155 106 91 121 90 90 91 137 90 232 90 91 91 94 90 171 90 91 103 -- ad=1, fs=0
101 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
91 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ad=8, fs=0
91 109 91 93 91 123 90 115 109 90 165 91 90 91 90 91 129 90 129 149 165 90 -- ad=0, fs=0
90 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ad=8, fs=0
90 93 91 109 90 106 210 96 90 103 90 92 91 98 90 139 91 172 105 126 98 90 98 90 -- ad=-4, fs=0
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
91 109 91 94 91 91 113 91 91 90 166 91 91 96 91 92 90 90 91 170 90 170 90 90 -- ad=-4, fs=0
90 109 91 93 90 169 90 91 103 91 133 90 90 91 91 90 110 91 93 90 112 153 -- ad=12, fs=0
90 109 91 93 91 115 107 90 90 90 90 90 90 90 103 99 118 91 130 -- ad=-19, fs=0
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
90 109 91 93 91 92 90 162 90 129 91 91 91 90 137 99 90 90 111 91 153 90 90 -- ad=0, fs=1
91 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
105 109 91 93 91 92 90 97 91 116 91 119 90 90 91 104 119 91 100 91 91 106 91 113 90 -- ad=-10, fs=0
90 109 91 94 91 91 121 90 90 90 90 90 90 99 90 165 119 90 106 90 90 -- ad=8, fs=0
90 109 91 94 91 91 92 90 146 90 90 90 91 135 91 152 -- ad=-5, fs=1
136 109 91 94 91 91 136 90 90 91 171 100 91 91 90 92 96 90 120 -- ad=-4, fs=2
90 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 91 94 91 91 167 90 90 91 95 90 90 148 90 151 90 90 136 134 155 115 103 -- ad=8, fs=0
91 109 91 93 91 173 90 91 90 91 90 101 91 91 91 91 91 96 143 90 91 -- ad=-3, fs=0
127 109 91 93 91 92 91 90 90 162 91 91 90 171 90 90 91 104 91 96 91 91 141 90 -- ad=-2, fs=0
90 109 91 94 91 91 124 90 140 90 90 91 141 91 165 119 90 97 91 92 -- ad=8, fs=0
90 109 91 93 91 92 91 161 90 90 90 102 90 117 91 102 90 90 94 96 95 97 106 99 91 -- ad=3, fs=3
91 109 91 94 91 91 92 90 146 90 90 90 91 135 91 152 -- ad=-5, fs=1
136 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
91 109 90 93 91 91 126 91 103 90 104 90 91 148 121 90 106 90 167 97 134 90 127 -- ad=11, fs=1
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
90 109 91 93 91 129 149 91 90 90 142 219 90 99 91 109 115 92 185 -- ad=-16, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 137 90 166 91 102 90 104 91 96 96 91 90 90 90 166 90 90 93 90 -- ad=5, fs=0
90 109 90 93 91 91 148 91 90 151 90 91 163 108 151 112 144 90 149 90 90 99 -- ad=1, fs=0
90 109 91 94 91 91 90 91 91 90 158 90 91 90 90 101 90 107 90 90 90 -- ad=-15, fs=0
90 109 91 93 91 92 90 162 90 129 91 91 91 90 137 99 90 90 111 91 153 90 90 -- ad=0, fs=1
90 109 91 93 90 140 150 108 91 90 111 91 91 194 98 90 169 -- ad=14, fs=1
90 109 90 93 91 91 91 90 111 195 91 90 154 90 90 113 90 -- ad=-6, fs=0
91 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 156 91 91 126 90 91 91 91 120 91 90 90 112 90 90 164 120 91 90 90 90 -- ad=-3, fs=0
90 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
90 109 91 94 91 90 124 91 148 90 92 168 90 91 101 90 118 90 91 91 91 91 91 102 90 90 98 -- ad=-2, fs=0
90 109 91 94 91 91 124 90 142 90 90 119 91 158 90 147 91 90 90 105 91 90 91 90 91 -- ad=2, fs=0
90 109 91 93 90 155 106 91 131 97 96 107 90 90 159 151 90 90 91 93 90 140 90 91 149 -- ad=8, fs=0
137 109 91 93 91 130 91 90 110 90 154 91 90 90 158 91 100 131 90 90 123 91 91 90 117 90 106 91 90 -- ad=-15, fs=1
90 109 91 95 125 120 110 91 112 91 91 109 91 93 91 100 91 109 91 90 90 90 90 90 94 -- ad=9, fs=0
91 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
90 109 91 94 91 90 124 91 148 90 92 168 90 91 101 90 118 90 91 91 91 91 91 102 90 90 98 -- ad=-2, fs=0
91 109 91 93 90 140 150 136 91 91 91 90 104 91 90 176 91 91 122 127 90 92 90 91 95 90 99 97 91 142 96 104 -- ad=-7, fs=0
135 109 91 93 91 92 91 163 90 91 103 90 102 110 134 172 90 90 106 119 91 157 91 103 -- ad=-7, fs=0
90 109 91 94 91 91 124 90 142 90 90 146 91 153 90 102 91 152 108 97 -- ad=8, fs=0
91 109 91 93 91 123 91 133 90 103 129 116 90 91 90 91 94 91 91 135 90 91 122 -- ad=-3, fs=0
93 109 91 93 91 123 91 133 91 95 91 143 91 112 90 90 110 90 149 90 102 145 90 94 91 135 90 90 90 96 92 91 -- ad=1, fs=0
90 109 91 93 91 130 91 90 110 90 154 91 90 90 158 91 98 137 90 90 106 90 106 90 90 -- ad=2, fs=0
91 109 91 93 90 155 106 91 232 158 91 120 225 120 91 91 91 99 206 105 90 91 138 90 103 126 118 91 143 -- ad=-7, fs=0
90 109 91 94 91 91 90 91 91 91 166 91 91 105 90 135 90 142 90 -- ad=14, fs=1
90 109 91 93 91 92 90 158 90 94 270 172 98 90 91 91 96 90 90 147 -- ad=1, fs=0
90 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
104 109 90 93 91 91 126 91 103 90 104 90 91 148 121 90 106 90 167 97 134 90 127 -- ad=11, fs=1
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
90 109 91 93 90 171 90 90 91 90 91 90 91 129 144 90 90 120 90 91 91 169 90 -- ad=11, fs=0
90 109 91 94 91 91 95 91 90 146 91 99 90 118 120 135 90 90 121 -- ad=8, fs=0
90 109 91 93 90 156 91 91 102 91 91 90 90 106 91 166 90 125 91 90 126 -- ad=-8, fs=0
90 109 91 94 91 91 95 91 90 97 143 171 90 105 90 91 144 91 90 90 90 94 90 90 -- ad=8, fs=0
91 93 91 166 130 90 90 113 91 90 97 169 122 91 109 112 109 91 91 130 91 165 91 90 90 125 91 91 90 91 91 92 90 143 -- ad=-19, fs=0
91 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ad=8, fs=0
91 109 90 93 91 91 90 90 92 90 96 90 90 159 90 91 90 90 91 138 105 -- ad=10, fs=0
91 109 91 94 91 91 92 90 146 90 90 90 91 135 91 152 -- ad=-5, fs=1
136 109 91 93 90 156 91 91 102 91 91 90 90 106 91 166 90 125 91 90 126 -- ad=-8, fs=0
90 109 91 93 90 140 150 132 212 105 90 98 91 97 90 90 157 90 91 160 91 90 90 91 90 96 -- ad=5, fs=0
90 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 92 90 90 91 123 90 91 -- ad=-3, fs=1
91 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 90 95 91 90 147 167 90 160 90 160 104 90 90 91 91 101 139 91 90 136 129 -- ad=1, fs=0
90 109 90 93 91 91 107 90 98 108 102 111 105 91 104 90 104 90 90 90 91 91 90 90 91 90 90 94 90 -- ad=2, fs=0
90 109 90 93 91 91 107 90 98 108 102 111 105 91 104 90 104 90 90 90 91 91 90 90 91 90 90 94 90 -- ad=2, fs=0
90 93 91 116 91 151 90 109 110 91 90 105 91 108 122 91 136 91 90 148 108 129 91 121 90 128 90 90 129 91 91 -- ad=-11, fs=0
90 109 90 93 91 91 126 90 105 90 110 90 122 91 136 91 91 90 91 90 91 103 94 90 -- ad=8, fs=1
91 109 90 93 91 90 95 91 91 151 90 91 104 114 90 93 91 91 90 91 139 90 110 92 120 90 91 90 92 91 -- ad=1, fs=0
90 109 91 94 91 91 179 91 90 94 91 102 91 151 90 90 101 90 91 125 104 90 90 -- ad=8, fs=0
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
91 109 91 93 91 118 90 91 90 102 91 91 154 91 90 99 107 91 139 90 90 124 91 157 90 90 90 98 -- ad=-6, fs=0
91 109 91 94 91 91 121 90 90 90 90 90 90 99 90 165 119 90 106 90 90 -- ad=8, fs=0
90 109 91 93 91 129 149 91 90 90 142 219 90 99 91 109 115 92 185 -- ad=-16, fs=0
90 109 91 93 90 140 151 145 91 94 90 90 113 91 93 91 90 93 90 100 91 99 90 91 99 -- ad=1, fs=1
91 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ad=8, fs=0
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 128 126 90 161 151 90 109 91 90 90 94 144 106 90 94 90 90 -- ad=-2, fs=0
90 109 91 94 91 91 141 90 171 90 155 90 111 91 90 130 90 91 90 97 90 -- ad=8, fs=0
91 109 91 94 91 91 92 90 146 90 90 90 91 135 91 152 -- ad=-5, fs=1
135 109 91 93 91 92 90 158 90 94 270 172 98 90 91 91 96 90 90 147 -- ad=1, fs=0
91 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
161 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
91 109 90 93 91 91 148 91 90 151 90 91 163 108 151 112 144 90 149 90 90 99 -- ad=1, fs=0
90 109 91 93 91 97 91 90 90 94 91 103 182 90 90 90 156 90 90 91 101 154 113 -- ad=1, fs=0
90 109 91 93 90 169 90 91 103 91 133 90 90 91 91 90 110 91 93 90 112 153 -- ad=12, fs=0
90 109 91 93 91 92 91 139 90 91 91 90 96 130 97 91 164 90 97 91 90 91 114 90 90 141 90 -- ad=-16, fs=0
90 109 91 93 91 123 91 133 90 103 129 116 90 90 90 129 90 120 110 100 143 90 -- ad=19, fs=0
91 109 91 95 125 112 91 121 120 90 90 90 91 90 170 91 90 100 108 90 90 91 91 90 90 164 -- ad=-15, fs=1
91 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 92 90 90 91 123 90 91 -- ad=-3, fs=1
90 109 91 93 91 97 91 90 91 120 90 95 91 143 90 90 90 90 -- ad=15, fs=0
90 109 91 93 91 92 90 97 91 116 91 145 90 91 98 90 90 188 91 90 90 -- ad=-1, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
91 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
91 109 91 94 91 91 136 90 90 91 171 100 91 91 90 92 96 90 101 -- ad=2, fs=0
90 109 90 95 245 90 131 135 90 90 154 90 91 91 91 111 90 90 91 91 112 91 96 -- ad=3, fs=0
91 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
91 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ad=8, fs=0
91 109 90 93 91 91 91 90 111 195 91 90 154 90 90 113 90 -- ad=-6, fs=0
90 109 91 94 91 91 92 90 169 90 90 90 107 90 90 91 90 95 91 -- ad=4, fs=0
91 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
91 109 91 94 91 91 124 90 144 90 90 90 165 119 90 104 90 100 90 90 -- ad=8, fs=0
91 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ad=8, fs=0
90 109 91 93 90 140 150 136 91 91 95 91 106 91 91 164 90 92 135 92 91 110 -- ad=-1, fs=0
91 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
91 109 91 93 91 92 90 97 91 116 91 145 90 91 98 90 90 188 91 90 90 -- ad=-1, fs=0
91 109 90 93 91 91 148 91 90 151 90 91 163 108 151 112 144 90 149 90 90 99 -- ad=1, fs=0
91 109 91 94 91 91 124 90 144 90 90 90 165 119 90 104 90 100 90 90 -- ad=8, fs=0
90 109 91 94 91 91 90 91 91 90 158 90 91 90 90 101 90 107 90 90 90 -- ad=-15, fs=0
90 109 91 93 91 92 90 97 91 116 91 111 90 129 91 91 91 90 90 90 91 103 90 90 -- ad=8, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 151 90 90 147 90 99 109 90 -- ad=8, fs=0
91 109 91 94 91 91 92 90 146 90 90 90 91 135 91 152 -- ad=-5, fs=1
135 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 161 90 90 90 102 90 117 91 102 90 90 94 96 95 97 106 99 91 -- ad=3, fs=3
90 109 91 93 90 129 149 91 90 91 90 90 113 98 115 102 90 93 90 91 90 107 90 90 -- ad=10, fs=0
91 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
91 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 94 91 91 124 90 144 90 90 90 165 119 90 104 90 100 90 90 -- ad=8, fs=0
90 109 91 94 91 91 124 90 144 90 90 90 165 119 90 104 90 100 90 90 -- ad=8, fs=0
91 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
90 109 91 93 91 92 91 90 90 95 102 91 91 91 130 91 90 136 91 91 119 113 90 91 114 -- ad=5, fs=0
90 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ad=-1, fs=1
90 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 92 90 90 91 123 90 91 -- ad=-3, fs=1
90 109 91 94 91 91 124 90 140 90 90 91 141 91 165 119 90 97 91 92 -- ad=8, fs=0
90 109 90 93 91 91 107 90 98 108 102 111 105 91 104 90 104 90 90 90 91 90 91 90 116 90 -- ad=-1, fs=0
90 109 91 93 91 123 91 130 99 153 107 162 91 90 90 135 90 91 91 100 91 90 90 90 136 -- ad=-6, fs=0
91 109 91 94 91 90 95 91 90 147 167 90 160 90 160 104 90 90 91 91 101 139 91 90 136 129 -- ad=1, fs=0
90 109 91 93 90 156 91 91 102 91 91 90 90 106 91 166 90 125 91 90 126 -- ad=-8, fs=0
90 109 91 94 91 91 179 91 90 94 91 114 90 136 90 90 107 90 90 90 90 109 91 90 91 -- ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 91 94 91 91 136 90 90 91 168 90 106 90 90 138 90 90 106 -- ad=-9, fs=0
90 109 91 93 90 115 107 90 90 91 91 90 90 93 90 90 102 130 91 90 90 91 94 90 -- ad=7, fs=0
90 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
