 90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
-- duplicate the arm
--0 109 91 93 91 97 90 90 122 91 132 90 93 90 120 90 162 90 91 91 91 93 392                         -- 319(2)   -5/5/3 392 P rcw, R 2426
--0 109 90 93 91 90 95 91 91 118 90 99 90 97 91 161 169 136 90 91 157 594                           -- 319(2)  -5/32/1 394 P rcw, L 2548
--0 109 91 94 91 91 128 126 90 125 91 90 155 90 106 90 99 90 109 90 90 90 112 91 90 115 392         -- 319(2)  -5/53/3 392 P rcw, R 2862 
--0 109 91 94 91 91 136 91 91 90 132 90 90 125 90 114 128 90 103 91 91 91 90 91 97 90 91 90 115 395 -- 319(2) -5/-30/4 395 P rcw, L 3102 
90 109 91 93 91 118 90 91 91 91 90 90 173 90 107 90 91 90 91 1163                                   -- 319(2)   3/12/6 395 P flip, L 2096
--0 109 91 94 91 91 167 90 90 91 107 90 90 150 90 91 91 130 90 91 90 90 107 91 593                  -- 319(2)   3/-5/1 393 P flip, R 2631
-- convert original arm to target block on the left for P rcw L =O or P flip L =E
-- E0E :) 
-- debug 819!
-- make scorbie splitters and turners and partial SoD (target on right) E
93 91 90 144 90 100 186 164 90 205 106 90 93 90 162 141 90 91 91 111 -- ap=0 +fl=-1, ad=13, fs=0
90 109 90 93 91 91 98 90 90 100 90 90 96 90 97 163 90 98 229 117 90 104 91 91 90 90 109 91 -- ap=83 -fl=-43, ad=29, fs=0
91 109 91 93 91 138 120 150 143 91 97 90 106 161 122 229 122 165 91 119 96 114 90 131 91 90 91 -- ap=112 +fl=57, ad=-40, fs=1
90 109 91 94 91 90 124 91 148 90 92 168 90 91 101 90 118 90 91 91 91 91 91 102 90 90 98 -- ap=72 +fl=39, ad=-2, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ap=70 +fl=21, ad=-2, fs=0
160 109 91 94 91 90 95 91 90 147 167 90 160 90 160 104 90 90 91 91 101 139 91 90 136 129 -- ap=68 +fl=34, ad=1, fs=0
90 124 126 91 90 91 90 90 90 94 190 104 91 90 103 94 91 90 93 90 171 91 90 103 90 -- ap=69 -fl=-32, ad=5, fs=2
90 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ap=74 +fl=23, ad=8, fs=0
91 109 91 93 90 155 106 91 131 97 96 107 90 90 159 151 90 90 91 93 90 140 90 91 149 -- ap=82 +fl=36, ad=8, fs=0
137 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ap=90 +fl=19, ad=8, fs=0
90 109 91 94 91 91 153 91 91 91 90 90 91 158 91 91 166 90 91 91 -- ap=98 +fl=19, ad=8, fs=0
90 109 91 94 91 91 124 90 142 90 90 146 91 153 90 102 91 152 108 97 -- ap=106 +fl=27, ad=8, fs=0
91 109 90 93 91 91 91 90 111 195 91 90 154 90 90 113 90 -- ap=114 +fl=15, ad=-6, fs=0
91 109 91 94 91 91 124 91 105 90 169 91 90 116 91 142 90 90 -- ap=108 +fl=7, ad=-30, fs=1
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ap=78 +fl=8, ad=8, fs=0
104 109 91 93 91 123 90 147 90 91 90 107 132 90 91 96 90 164 91 91 110 91 91 90 103 90 102 -- ap=86 +fl=24, ad=38, fs=0
91 109 91 94 91 91 149 90 90 156 90 170 91 119 211 91 90 91 93 108 103 -- ap=124 +fl=29, ad=-34, fs=0
90 109 91 94 91 91 149 90 90 156 90 170 91 119 211 91 90 91 93 108 103 -- ap=90 +fl=29, ad=-34, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ap=56 +fl=21, ad=-2, fs=0
161 109 91 93 91 130 91 90 110 90 154 91 90 90 158 91 98 137 90 90 106 90 106 90 90 -- ap=54 +fl=33, ad=2, fs=0
91 93 91 109 90 106 210 141 90 91 94 135 90 90 91 93 100 91 90 122 90 103 98 91 91 108 90 90 -- ap=56 +fl=38, ad=-35, fs=1
246 109 90 93 91 91 107 90 94 91 90 92 90 95 90 91 90 153 90 90 140 91 114 91 98 90 109 -- ap=21 -fl=-41, ad=-10, fs=0
95 109 91 94 91 91 95 91 90 146 91 99 90 118 120 135 90 90 121 -- ap=11 -fl=-21, ad=8, fs=0
90 109 91 94 91 91 95 91 90 146 91 99 90 118 120 135 90 90 121 -- ap=19 -fl=-21, ad=8, fs=0
90 109 90 93 91 91 128 91 91 90 97 90 99 90 139 91 91 117 134 92 90 90 90 -- ap=27 -fl=-18, ad=8, fs=1
91 109 90 93 91 91 128 91 91 90 97 90 99 90 139 91 91 117 134 92 90 90 90 -- ap=35 -fl=-18, ad=8, fs=1
91 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ap=43 -fl=-26, ad=-1, fs=1
90 109 91 93 91 123 91 130 99 153 107 162 91 90 90 135 90 91 91 100 91 90 90 90 136 -- ap=42 +fl=32, ad=-6, fs=0
90 109 91 94 91 91 149 90 90 156 90 170 91 119 211 91 90 91 93 108 103 -- ap=36 +fl=29, ad=-34, fs=0
90 109 91 93 91 92 91 90 90 124 91 142 90 90 91 91 112 90 102 102 103 90 90 90 117 112 90 189 90 -- ap=2 +fl=28, ad=6, fs=0
90 109 91 93 90 155 106 91 131 97 96 107 90 90 159 151 90 90 91 93 90 140 90 91 149 -- ap=8 +fl=36, ad=8, fs=0
136 109 91 93 90 155 106 91 131 97 96 107 90 90 146 90 90 90 90 94 91 164 91 90 104 91 90 113 -- ap=16 +fl=36, ad=40, fs=1
90 109 91 94 91 91 93 90 125 90 147 161 124 90 100 90 90 118 95 91 90 91 91 90 90 97 205 -- ap=56 +fl=37, ad=11, fs=1
90 93 91 118 91 151 90 99 153 119 94 112 90 101 90 90 111 91 159 90 100 -- ap=67 -fl=-31, ad=-25, fs=0
91 93 91 109 90 106 210 141 90 91 94 135 90 90 91 93 93 115 156 91 153 90 90 112 91 91 92 91 90 -- ap=42 +fl=38, ad=-2, fs=1
91 109 91 93 90 132 115 166 90 91 90 202 112 91 90 90 91 153 90 151 90 132 140 91 109 94 109 91 94 91 91 96 91 135 -- ap=40 +fl=54, ad=32, fs=0
139 109 90 93 91 91 126 90 105 90 110 90 122 91 136 91 91 90 91 90 91 103 94 90 -- ap=72 +fl=46, ad=8, fs=1
90 109 91 93 90 155 106 91 131 97 96 107 90 90 146 90 90 90 90 94 91 164 91 90 104 91 90 113 -- ap=80 +fl=36, ad=40, fs=1
90 109 91 94 91 91 124 90 142 90 90 146 91 153 90 102 91 152 108 97 -- ap=120 +fl=27, ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ap=128 +fl=8, ad=8, fs=0
104 109 91 93 90 171 90 90 91 90 91 90 91 129 144 90 90 120 90 91 91 169 90 -- ap=136 +fl=9, ad=11, fs=0
90 109 91 94 91 91 90 91 91 90 158 90 91 90 90 101 90 107 90 90 90 -- ap=147 -fl=-9, ad=-15, fs=0
90 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ap=132 +fl=5, ad=-8, fs=0
91 109 91 94 91 91 96 90 97 91 91 145 90 113 90 90 95 90 163 91 157 -- ap=124 +fl=13, ad=-29, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ap=95 -fl=-6, ad=-11, fs=0
90 109 91 94 91 91 136 90 90 91 168 90 106 90 90 138 90 90 106 -- ap=84 +fl=-3, ad=-9, fs=0
91 109 91 94 91 91 136 90 90 91 171 100 91 91 90 92 96 90 101 -- ap=75 -fl=-1, ad=2, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ap=77 -fl=-2, ad=7, fs=1
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ap=84 +fl=-2, ad=7, fs=1
90 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ap=91 -fl=4, ad=8, fs=0
90 109 91 93 91 129 149 91 90 90 142 219 90 99 91 109 115 92 185 -- ap=99 -fl=14, ad=-16, fs=0
90 109 91 93 91 129 149 91 90 90 142 219 90 99 91 109 115 92 185 -- ap=83 -fl=14, ad=-16, fs=0
91 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ap=67 -fl=21, ad=-2, fs=0
160 109 90 93 91 91 90 90 92 90 96 90 90 159 90 91 90 90 91 138 105 -- ap=65 -fl=11, ad=10, fs=0
91 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ap=75 -fl=-6, ad=-11, fs=0
90 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ap=64 +fl=-16, ad=8, fs=0
91 109 91 93 91 123 91 121 90 117 90 138 91 91 90 90 90 91 100 91 132 91 -- ap=72 +fl=-26, ad=-1, fs=1
90 109 91 94 91 91 124 90 142 90 90 146 91 153 90 102 91 152 108 97 -- ap=71 -fl=27, ad=8, fs=0
90 109 91 93 90 155 106 91 131 97 96 107 90 90 146 90 90 90 90 94 91 164 91 90 104 91 90 113 -- ap=79 -fl=36, ad=40, fs=1
90 109 91 95 125 112 91 121 113 91 90 90 90 138 91 132 90 139 127 91 93 96 90 99 90 172 -- ap=119 -fl=-28, ad=5, fs=2
91 109 91 93 90 123 91 130 99 153 107 104 133 90 119 90 90 101 172 90 125 90 91 90 90 -- ap=124 +fl=32, ad=23, fs=0
90 109 91 93 91 97 90 90 102 91 91 116 93 90 112 90 109 91 147 91 -- ap=147 -fl=-16, ad=-23, fs=0
90 109 91 94 91 91 124 90 142 90 90 119 91 158 90 147 91 90 90 154 -- ap=124 +fl=30, ad=-25, fs=1
91 93 91 116 90 154 90 90 91 124 255 160 91 91 149 90 108 90 127 96 91 122 -- ap=99 -fl=-40, ad=-44, fs=1
90 109 90 93 91 91 107 90 98 108 102 111 105 91 104 90 104 90 90 90 91 90 91 90 116 90 -- ap=55 -fl=-41, ad=-1, fs=0
90 109 91 93 91 123 91 130 99 153 107 162 91 90 90 135 90 91 91 100 91 90 90 90 136 -- ap=54 +fl=32, ad=-6, fs=0
90 109 91 94 91 91 124 91 105 90 169 91 90 116 91 142 90 90 -- ap=48 +fl=7, ad=-30, fs=1
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ap=18 +fl=21, ad=-2, fs=0
160 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ap=16 +fl=8, ad=8, fs=0
105 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ap=24 +fl=4, ad=8, fs=0
91 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ap=32 +fl=-2, ad=7, fs=1
91 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ap=39 -fl=4, ad=8, fs=0
90 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ap=47 -fl=-6, ad=-11, fs=0
91 109 91 94 91 91 96 90 166 91 91 114 90 90 91 90 90 114 91 101 -- ap=36 +fl=17, ad=-28, fs=0
91 109 90 93 91 91 148 91 90 151 90 91 163 108 151 112 144 90 149 90 90 99 -- ap=8 +fl=18, ad=1, fs=0
90 109 91 94 91 91 90 91 91 91 166 91 91 105 90 135 90 142 90 -- ap=9 -fl=-10, ad=14, fs=1
91 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ap=23 -fl=-6, ad=-11, fs=0
91 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ap=12 +fl=4, ad=8, fs=0
90 109 91 93 91 92 90 97 91 116 91 145 90 91 98 90 90 188 91 90 90 -- ap=20 +fl=0, ad=-1, fs=0
91 109 91 94 91 91 136 90 90 91 171 100 91 91 90 92 96 90 101 -- ap=19 -fl=-1, ad=2, fs=0
91 109 91 94 91 91 136 90 90 91 171 100 91 91 90 92 96 90 101 -- ap=21 -fl=-1, ad=2, fs=0
91 109 90 93 91 91 90 90 92 90 96 90 90 159 90 91 90 90 91 138 105 -- ap=23 -fl=11, ad=10, fs=0
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ap=33 -fl=4, ad=-11, fs=0
90 109 91 94 91 91 92 90 146 90 90 90 91 135 91 152 -- ap=22 +fl=11, ad=-5, fs=1
135 109 91 94 91 91 90 91 91 91 166 91 91 105 90 135 90 142 90 -- ap=17 -fl=-10, ad=14, fs=1
91 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ap=31 -fl=-6, ad=-11, fs=0
90 109 91 93 91 97 90 90 111 90 107 91 94 90 90 115 91 90 91 136 91 144 90 90 -- ap=20 +fl=14, ad=-7, fs=0
91 109 91 94 91 91 124 90 140 90 90 91 141 91 165 119 90 97 91 92 -- ap=13 -fl=-13, ad=8, fs=0
90 109 91 93 91 92 90 158 90 94 270 172 98 90 91 91 96 90 90 147 -- ap=21 -fl=-13, ad=1, fs=0
91 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ap=22 +fl=5, ad=-8, fs=0
90 109 90 93 91 91 110 90 107 117 90 90 90 90 91 91 90 91 170 91 91 91 103 90 -- ap=14 +fl=7, ad=-5, fs=0
90 109 91 93 91 130 91 90 110 90 154 91 90 90 158 91 98 137 90 90 106 90 106 90 90 -- ap=9 -fl=33, ad=2, fs=0
90 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 90 91 91 119 -- ap=11 -fl=22, ad=27, fs=0
90 109 91 93 90 140 150 132 212 105 90 98 91 97 90 90 134 125 163 91 93 90 101 91 90 -- ap=38 +fl=-35, ad=27, fs=0
90 109 91 93 90 156 91 91 96 162 91 91 103 123 125 165 169 120 142 91 92 96 126 90 114 -- ap=65 -fl=35, ad=-1, fs=0
90 93 91 118 91 151 90 99 153 119 94 112 90 101 90 90 111 91 159 90 100 -- ap=64 +fl=-31, ad=-25, fs=0
90 93 91 109 90 106 210 141 90 91 94 135 90 90 91 93 93 115 156 91 153 90 90 112 91 91 92 91 90 -- ap=39 -fl=38, ad=-2, fs=1
90 109 90 93 91 91 126 90 105 90 110 90 122 91 136 91 91 90 91 90 91 103 94 90 -- ap=37 -fl=46, ad=8, fs=1
90 109 91 93 91 123 90 125 91 90 169 91 91 91 91 126 90 103 90 113 90 91 95 90 -- ap=45 -fl=16, ad=25, fs=1
91 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ap=70 +fl=-16, ad=8, fs=0
91 109 91 94 91 91 164 91 133 124 90 90 124 90 90 91 90 90 112 91 138 91 118 90 -- ap=78 +fl=-14, ad=8, fs=0
90 109 91 94 91 91 124 90 140 90 90 91 141 91 165 119 90 97 91 92 -- ap=86 +fl=-13, ad=8, fs=0
90 109 91 94 91 91 93 90 91 91 90 104 91 91 99 99 90 91 91 118 91 91 137 -- ap=94 +fl=-9, ad=-6, fs=1
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ap=88 +fl=-2, ad=7, fs=1
90 109 91 94 91 91 92 90 146 90 90 90 91 135 91 152 -- ap=95 -fl=11, ad=-5, fs=1
135 109 91 94 91 91 164 91 133 124 90 90 124 90 90 91 90 90 112 91 138 91 118 90 -- ap=90 +fl=-14, ad=8, fs=0
91 109 90 93 91 91 128 91 91 90 97 90 99 90 139 91 91 117 134 92 90 90 90 -- ap=98 +fl=-18, ad=8, fs=1
90 109 91 93 91 92 90 158 90 94 270 172 98 90 91 91 96 90 90 147 -- ap=106 +fl=-13, ad=1, fs=0
90 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ap=107 -fl=21, ad=-2, fs=0
160 109 91 93 91 123 91 133 90 103 129 116 90 90 90 129 90 120 110 100 143 90 -- ap=105 -fl=27, ad=19, fs=0
90 109 91 93 90 156 91 91 102 91 91 90 90 106 91 166 90 125 91 90 126 -- ap=124 +fl=-23, ad=-8, fs=0
90 109 91 93 90 137 90 110 249 91 91 103 93 91 90 90 148 91 96 237 163 91 112 91 150 91 91 100 -- ap=116 +fl=-38, ad=-29, fs=0
121 109 91 93 90 156 91 91 96 162 91 91 106 91 90 119 185 91 96 90 132 90 91 90 -- ap=87 -fl=35, ad=-34, fs=3
143 109 91 93 91 130 91 90 110 90 154 91 90 90 158 91 98 137 90 90 106 90 106 90 90 -- ap=53 -fl=33, ad=2, fs=0
90 109 91 94 91 91 124 90 142 90 90 146 91 153 90 102 91 152 108 97 -- ap=55 -fl=27, ad=8, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ap=63 -fl=8, ad=8, fs=0
104 109 90 95 245 90 95 90 123 91 90 115 142 -- ap=71 -fl=-1, ad=-9, fs=0
91 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ap=62 +fl=-16, ad=8, fs=0
91 93 91 151 90 139 180 103 115 167 91 120 139 135 91 91 -- ap=70 +fl=-11, ad=-53, fs=0
169 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ap=17 -fl=8, ad=8, fs=0
105 109 91 94 91 90 162 122 111 90 90 90 96 91 91 91 122 91 91 171 -- ap=25 -fl=-12, ad=-23, fs=0
91 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ap=2 +fl=15, ad=9, fs=3
90 109 90 93 91 91 90 90 100 90 90 146 92 90 90 101 90 97 91 90 90 90 91 91 118 -- ap=11 -fl=-2, ad=28, fs=0
91 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ap=39 -fl=-2, ad=7, fs=1
91 109 90 95 245 90 95 90 123 91 90 115 142 -- ap=46 +fl=-1, ad=-9, fs=0
90 109 91 93 91 97 91 90 91 120 90 95 91 143 90 90 90 90 -- ap=37 -fl=-10, ad=15, fs=0
90 109 91 93 91 115 107 90 90 90 90 90 90 90 103 99 118 91 130 -- ap=52 +fl=19, ad=-19, fs=0
90 109 91 94 91 91 136 90 90 91 171 100 91 91 90 92 96 90 101 -- ap=33 -fl=-1, ad=2, fs=0
91 109 91 94 91 91 149 90 90 156 90 170 91 119 211 91 90 91 93 108 103 -- ap=35 -fl=29, ad=-34, fs=0
90 109 91 94 91 91 124 90 142 90 90 146 91 153 90 102 91 152 108 97 -- ap=1 -fl=27, ad=8, fs=0
90 109 91 93 91 123 91 133 90 103 129 116 90 90 90 129 90 120 110 100 143 90 -- ap=9 -fl=27, ad=19, fs=0
91 109 90 93 91 91 128 91 91 90 97 90 99 90 139 91 91 117 134 92 90 90 90 -- ap=28 +fl=-18, ad=8, fs=1
91 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ap=36 +fl=-16, ad=8, fs=0
90 109 91 94 91 91 124 90 140 90 90 91 141 91 165 119 90 97 91 92 -- ap=44 +fl=-13, ad=8, fs=0
91 109 91 94 91 91 124 91 126 91 140 162 148 90 90 119 90 -- ap=52 +fl=-16, ad=8, fs=0
90 109 91 94 91 91 179 91 90 94 91 102 91 151 90 90 101 90 91 125 104 90 90 -- ap=60 +fl=-24, ad=8, fs=0
90 109 91 93 91 123 90 129 90 90 111 126 91 90 120 91 142 -- ap=68 +fl=-17, ad=-22, fs=0
98 109 91 93 91 169 90 90 152 127 90 91 90 92 90 93 91 171 90 146 -- ap=46 +fl=-13, ad=-21, fs=0
90 109 91 94 91 91 93 90 91 91 90 100 90 94 90 108 90 91 91 119 -- ap=25 -fl=22, ad=27, fs=0
90 109 91 94 91 91 179 91 90 94 91 102 91 151 90 90 101 90 91 125 104 90 90 -- ap=52 +fl=-24, ad=8, fs=0
90 109 91 94 91 91 124 90 140 90 90 91 141 91 165 119 90 97 91 92 -- ap=60 +fl=-13, ad=8, fs=0
90 109 91 93 91 123 90 148 90 90 90 156 91 90 138 91 90 91 90 91 93 -- ap=68 +fl=-17, ad=13, fs=0
90 109 91 94 91 91 95 91 90 147 165 90 151 90 90 97 122 93 107 137 91 90 90 91 156 95 90 -- ap=81 -fl=34, ad=8, fs=0
90 109 91 93 90 123 91 130 99 153 107 104 133 90 119 90 90 101 172 90 125 90 91 90 90 -- ap=89 -fl=32, ad=23, fs=0
90 93 91 118 91 151 90 99 153 119 94 112 90 101 90 90 111 91 159 90 100 -- ap=112 +fl=-31, ad=-25, fs=0
91 109 91 94 91 90 99 90 112 90 91 105 90 121 118 103 90 144 117 95 -- ap=87 -fl=9, ad=-53, fs=0
91 93 90 91 91 90 90 91 90 103 91 91 103 90 152 181 140 91 90 166 91 -- ap=34 +fl=-20, ad=-29, fs=0
-- (106) rsg=402935, sg=402935 rad=5 ap=5 sd=0
-- delete arm
-- 90 109 90 93 91 90 90 90
-- shorter delete arm for this case found by accident (not increasing start distance to 106)
90 90 91 90 90
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44z
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
